"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"802","172",16068.4283037644,61714.8005202704,60,136,0.456737876404077,76,41.2879213932902,"Q1"
"803","1720",12245.825604255,61822.8461541359,47,99,0.851234301924706,52,7.73581629991531,"Q4"
"804","1721",16640.8868232365,61748.7467397413,56,99,0.157908066175878,43,36.2099531544372,"Q2"
"805","1722",12625.6640860048,61811.4686806001,62,118,0.668510154122487,56,18.5634313691407,"Q3"
"806","1723",19368.1489905256,61675.6914720965,43,105,0.166242772247642,62,51.6929481206462,"Q1"
"807","1724",13447.8803824055,61786.261716878,59,126,0.550445095170289,67,30.1201786235906,"Q2"
"808","1725",13982.7005214272,61790.9414210224,47,83,0.380018042400479,36,22.3193504735827,"Q2"
"809","1726",14327.1674656369,61766.7581742973,63,128,0.509471894707531,65,31.8843268440105,"Q2"
"810","1727",13775.6946636611,61781.9620975736,63,122,0.520480121020228,59,28.2916728598066,"Q2"
"811","1728",12235.0801076055,61822.3991403973,52,87,0.774545471183956,35,7.89090850856155,"Q4"
"812","1729",17189.634002101,61667.0801330888,81,151,0.403150419238955,70,41.7794706532732,"Q1"
"813","173",18524.9001720381,61723.4666656266,52,101,0.0254136987496167,49,47.7547287612688,"Q1"
"814","1730",12242.6879164961,61823.9583472734,73,116,0.889775026123971,43,4.73967387666926,"Q4"
"815","1731",16261.1009399669,61733.2520616604,57,114,0.344024498015642,57,37.3906036131084,"Q1"
"816","1732",13314.9654672819,61791.414015388,73,133,0.579429767327383,60,25.234213960357,"Q2"
"817","1733",16830.9234275074,61757.6971775421,48,87,0.0696342962328345,39,36.2842624469195,"Q2"
"818","1734",12600.2144574584,61813.632285193,54,124,0.743820531060919,70,17.9325628257357,"Q3"
"819","1735",12573.0039412155,61813.0031695183,67,114,0.652124929241836,47,16.3501283256337,"Q3"
"820","1736",15059.2286542693,61770.4083764192,44,88,0.369033752940595,44,27.7625148706138,"Q2"
"821","1737",12213.7356922428,61825.1760533675,73,134,0.942666636547074,61,3.4973351706285,"Q4"
"822","1738",19962.0299890999,61672.8520265804,63,121,0.0223810479510576,58,56.7018992188387,"Q1"
"823","1739",21666.6613082335,61566.5851268448,62,138,0.100042887032032,76,68.3967405855656,"Q1"
"824","174",16585.8984166223,61719.3338836669,62,122,0.349751895759255,60,39.0148862544447,"Q1"
"825","1740",19708.531453362,61691.3035379665,50,107,0.0285515957511961,57,55.3725590421818,"Q1"
"826","1741",12624.0963878739,61811.2721674017,63,117,0.657131500076503,54,18.5148989958689,"Q3"
"827","1742",14907.0699955561,61764.4809717126,57,109,0.408597478410229,52,30.7529311226681,"Q2"
"828","1743",17216.0981196409,61719.468549833,58,112,0.240108160767704,54,41.034159318544,"Q1"
"829","1744",12256.9450349,61822.8267073035,57,99,0.830022596521303,42,7.13905094610527,"Q4"
"830","1745",18567.9580181221,61667.3052259248,48,119,0.284740000031888,71,50.7834599977359,"Q1"
"831","1746",12135.4783328786,61825.3998616349,47,86,0.918901347089559,39,3.16284746350721,"Q4"
"832","1747",13234.2840005947,61801.2066471245,52,88,0.439664189470932,36,20.1720891790465,"Q3"
"833","1748",21119.2344190838,61485.5486397342,91,166,0.156845018267632,75,63.2366236299276,NA
"834","1749",15000.8183379412,61780.2765051609,39,71,0.316644167527556,32,21.8673866391182,"Q2"
"835","175",12534.323151517,61816.031756061,93,164,0.872215680312365,71,9.07268669782206,"Q3"
"836","1750",12134.4001462131,61826.0411889042,60,106,0.955431640380993,46,2.0501445424743,"Q4"
"837","1751",12169.4613387315,61825.3779889648,65,109,0.931548595428467,44,3.01186180114746,"Q4"
"838","1752",14945.3038398595,61778.0852020322,69,101,0.230968359392136,32,24.6090124994516,"Q2"
"839","1753",15879.5618617563,61761.7014701831,56,96,0.206626715837047,40,31.7349313665181,"Q2"
"840","1754",16616.5491102997,61753.7657645982,54,95,0.126470312708989,41,35.8147171789315,"Q2"
"841","1755",15570.6850440374,61756.1046280615,67,111,0.309075664263219,44,30.4006707724184,"Q2"
"842","1756",21513.9671968694,61589.0289532257,49,126,0.120862920768559,77,67.693555100821,"Q1"
"843","1757",12544.437581398,61813.0779365983,60,91,0.514315485954285,31,15.0562199354172,"Q3"
"844","1758",13129.8139850993,61797.9920571796,56,106,0.514356202445924,50,24.2821898777038,"Q3"
"845","1759",12088.792789985,61826.3224652736,50,84,0.982474148273468,34,0.595878958702087,"Q4"
"846","176",18229.2363508263,61641.9344112258,67,143,0.351650069002062,76,49.2745947558433,"Q1"
"847","1760",22465.4125942415,61554.9380088279,61,138,0.0469032800756395,77,73.3884474341758,"Q1"
"848","1761",17009.856812864,61696.7328523751,49,125,0.397345827659592,76,45.801717097871,"Q1"
"849","1762",16965.0957597522,61705.2407242371,46,118,0.390381918055937,72,43.8925018999726,"Q1"
"850","1763",12292.4410884228,61822.5490115425,66,110,0.842088964534923,44,6.94808556046337,"Q4"
"851","1764",12106.7780163114,61826.3224652736,49,110,0.980974270030856,61,1.16056952811778,"Q4"
"852","1765",14754.9692811539,61769.9388276209,58,106,0.397693038685247,48,28.9107341431081,"Q2"
"853","1766",12417.9349897119,61818.5165192574,57,109,0.757198985200375,52,12.6256527695805,"Q3"
"854","1767",12483.5643260629,61818.9178058987,67,138,0.848038943251595,71,10.7892350291368,"Q3"
"855","1768",12409.1997147484,61819.3150228257,46,119,0.82736914162524,73,12.6020526613574,"Q4"
"856","1769",18322.2406357576,61660.3325637285,65,133,0.286503605777398,68,48.517754807137,"Q1"
"857","177",12262.6214275798,61823.5022547432,53,115,0.894096699776128,62,6.56600461388007,"Q4"
"858","1770",14542.8106962557,61771.8371290311,49,102,0.426069111330435,53,30.418337099487,"Q2"
"859","1771",12254.0528206744,61822.682724094,44,103,0.862828091485426,59,8.09314260235988,"Q4"
"860","1772",16465.8151549213,61766.1452766039,50,86,0.0519482165109366,36,34.1298642056063,"Q2"
"861","1773",19437.4742735103,61669.7523591808,73,129,0.0588317890651524,56,52.7054198123515,"Q1"
