I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
3.3579023617405596e-5,5.907344967753577e-6,-0.9836859651484509,11.58082929193262,2.9619231441967298,2.5928369192390523e-4,4.95218718133955,3.68701066780236e-5,blanket_1
3.29023252194026e-5,5.788282854462224e-6,-0.9828122986882848,11.580983992281029,2.9619456067885546,2.540584995254542e-4,4.952239020498455,3.6126766007851794e-5,blanket_1
3.2239247520753664e-5,5.6716178361266e-6,-0.981956243344928,11.58113557895068,2.9619676164433595,2.4893848067985387e-4,4.9522898149731525,3.539840016657643e-5,blanket_1
3.158951701652374e-5,5.557301755193091e-6,-0.9811174444546822,11.581284114458299,2.961989182288338,2.4392152349218645e-4,4.952339585791216,3.4684707948904905e-5,blanket_1
3.095286566764659e-5,5.445287417459693e-6,-0.980295554482713,11.581429660071521,2.9620103132670006,2.3900555827277112e-4,4.952388353557993,3.3985394189378486e-5,blanket_1
3.032903079273601e-5,5.335528572970012e-6,-0.9794902328804533,11.58157227583356,2.962031018142855,2.341885567017737e-4,4.95243613846503,3.3300169642004094e-5,blanket_1
2.97177549619967e-5,5.227979897279604e-6,-0.9787011459457151,11.581712020587462,2.9620513055030204,2.2946853101002933e-4,4.952482960298346,3.262875086225503e-5,blanket_1
2.9118785893195727e-5,5.122596973087652e-6,-0.9779279666854657,11.581848951999875,2.962071183761772,2.248435331757758e-4,4.9525288384465425,3.197086009139542e-5,blanket_1
2.853187634965609e-5,5.0193362722270826e-6,-0.9771703746814242,11.581983126584342,2.96209066116401,2.2031165413700094e-4,4.952573791908748,3.132622514308387e-5,blanket_1
2.795678404023472e-5,4.918155138006395e-6,-0.9764280559583893,11.582114599724148,2.9621097457886596,2.1587102301911314e-4,4.952617839302407,3.069457929221217e-5,blanket_1
2.7393271521247777e-5,4.819011767896586e-6,-0.9757007028550313,11.582243425694745,2.9621284455520067,2.115198063776481e-4,4.952660998870919,3.0075661165936418e-5,blanket_1
2.684110610030669e-5,4.721865196556595e-6,-0.9749880138974265,11.5823696576857,2.9621467682109643,2.0725620745572934e-4,4.952703288491115,2.9469214636858195e-5,blanket_1
2.630005974202925e-5,4.626675279190945e-6,-0.974289693674868,11.58249334782225,2.962164721366273,2.0307846545600722e-4,4.952744725680602,2.8874988718314166e-5,blanket_1
2.576990897559032e-5,4.533402675233213e-6,-0.9736054527185622,11.582614547186422,2.9621823124656386,1.9898485482680277e-4,4.952785327604937,2.82927374617337e-5,blanket_1
2.5250434804077678e-5,4.442008832349202e-6,-0.9729350073822807,11.582733305837737,2.9621995488068076,1.9497368456219033e-4,4.952825111084697,2.7722219856024438e-5,blanket_1
2.474142261561891e-5,4.352455970753716e-6,-0.9722780797256525,11.582849672833518,2.9622164375405795,1.910432975157547e-4,4.9528640926023595,2.7163199728946527e-5,blanket_1
2.424266209624591e-5,4.2647070678349826e-6,-0.9716343973997676,11.582963696248797,2.9622329856737597,1.871920697277662e-4,4.952902288309093,2.6615445650437175e-5,blanket_1
2.3753947144464137e-5,4.1787258430808715e-6,-0.9710036935349109,11.583075423195849,2.9622492000720557,1.8341840976551923e-4,4.952939714031386,2.6078730837847712e-5,blanket_1
2.327507578749437e-5,4.094476743301129e-6,-0.970385706630883,11.583184899843292,2.962265087462907,1.79720758076584e-4,4.952976385277538,2.5552833063055915e-5,blanket_1
2.280585009915522e-5,4.011924928140023e-6,-0.9697801804489203,11.5832921714349,2.9622806544382714,1.7609758635472932e-4,4.953012317244057,2.5037534561417583e-5,blanket_1
2.2346076119355274e-5,3.931036255873795e-6,-0.9691868639064904,11.58339728230795,2.962295907457344,1.7254739691827245e-4,4.953047524821881,2.453262194252121e-5,blanket_1
2.189556377516426e-5,3.851777269487523e-6,-0.9686055109735414,11.583500275911293,2.9623108528492272,1.690687221006234e-4,4.953082022602521,2.4037886102711124e-5,blanket_1
2.1454126803433173e-5,3.7741151830259905e-6,-0.9680358805711831,11.583601194823009,2.9623254968155455,1.6566012365278783e-4,4.953115824884053,2.3553122139344316e-5,blanket_1
2.1021582674933823e-5,3.698017868213355e-6,-0.9674777364723997,11.583700080767768,2.9623398454330108,1.6232019215760393e-4,4.953148945676999,2.3078129266747607e-5,blanket_1
2.0597752519988878e-5,3.6234538413364193e-6,-0.9669308472044835,11.583796974633788,2.962353904655931,1.5904754645548695e-4,4.953181398710094,2.2612710733841632e-5,blanket_1
2.0182461055563825e-5,3.550392250386462e-6,-0.9663949859537446,11.583891916489527,2.9623676803186734,1.5584083308146313e-4,4.953213197435934,2.2156673743399544e-5,blanket_1
1.977553651379297e-5,3.4788028624546454e-6,-0.9658699304718854,11.583984945599997,2.962381178138076,1.5269872571327612e-4,4.9532443550365155,2.1709829372908216e-5,blanket_1
1.9376810571911965e-5,3.4086560513761093e-6,-0.9653554629842409,11.584076100442783,2.9623944037158134,1.496199246303541e-4,4.953274884428659,2.127199249700087e-5,blanket_1
1.8986118283569924e-5,3.3399227856179706e-6,-0.9648513701002392,11.584165418723728,2.9624073625407075,1.466031561834298e-4,4.953304798269328,2.0842981711430377e-5,blanket_1
1.8603298011494643e-5,3.272574616406522e-6,-0.9643574427248947,11.584252937392339,2.9624200599910044,1.4364717227460843e-4,4.953334108960845,2.0422619258553096e-5,blanket_1
1.8228191361484915e-5,3.2065836660889933e-6,-0.9638734759729095,11.584338692656853,2.962432501336596,1.4075074984768265e-4,4.953362828655997,2.0010730954293637e-5,blanket_1
1.7860643117704434e-5,3.1419226167253535e-6,-0.9633992690839865,11.584422719999022,2.9624446917411937,1.3791269038849848e-4,4.953390969263042,1.9607146116561844e-5,blanket_1
1.750050117925221e-5,3.0785646989057134e-6,-0.9629346253399174,11.584505054188627,2.9624566362644753,1.351318194351775e-4,4.953418542450615,1.921169749509312e-5,blanket_1
1.714761649798493e-5,3.0164836807889336e-6,-0.9624793519833141,11.58458572929767,2.9624683398641727,1.3240698609800618e-4,4.953445559652542,1.8824221202684592e-5,blanket_1
1.6801843017567036e-5,2.9556538573581634e-6,-0.9620332601382842,11.584664778714304,2.9624798073981196,1.2973706258880506e-4,4.953472032072545,1.844455664779956e-5,blanket_1
1.6463037613724948e-5,2.8960500398891193e-6,-0.9615961647320703,11.584742235156495,2.9624910436262684,1.2712094375959607e-4,4.9534979706888675,1.807254646851335e-5,blanket_1
1.6131060035682e-5,2.8376475456269324e-6,-0.9611678844189231,11.5848181306854,2.962502053212656,1.245575466503866e-4,4.953523386258799,1.770803646777438e-5,blanket_1
1.5805772848751364e-5,2.780422187667553e-6,-0.9607482415050606,11.584892496718478,2.962512840727332,1.2204581004589514e-4,4.9535482893231055,1.735087554995448e-5,blanket_1
