rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,cases_per_100k_ratio,productivity_loss,economic_loss_ratio_ADJUSTED
7,0.9,5804.8882538929865,1266.000593361039,74096.34155437525,74092.77684439674,0.781907844218705,1.0000481114371782,9.999999999999998,0.9015423823409188
8,0.1,4771.228393113084,868.5527068035948,47575.42943754484,47574.947926940695,0.8179603583728488,1.0000101210957684,90,0.9431110527925931
8,0.2,5224.294102771115,1010.2144638760774,54544.38292053688,54541.5449432473,0.8066313947868611,1.0000520333131842,80,0.9300487195569286
8,0.3,5477.218479956206,NA,59370.13343512771,NA,NA,NA,70,NA
8,0.4,5641.167528547256,1156.1610427718088,63248.49771296012,63248.885079975924,0.7950493338620012,0.999993875512346,60,0.9166945642356586
8,0.5,5749.032286489086,NA,66515.5969190389,NA,NA,NA,50,NA
8,0.6,5816.4770906593685,1249.8536184472898,69320.83230066502,69302.47492799119,0.7851184490257137,1.000264887692581,40,0.905244220515158
8,0.7,5853.216652452659,1265.9285327827379,71755.67573081389,71757.13112530235,0.7837208823882713,0.9999797177720788,30.000000000000004,0.9036328214671551
8,0.8,5866.034669419043,1287.074364936797,73886.24467486264,73886.20772214273,0.7805886876791566,1.0000005001301466,19.999999999999996,0.9000213904003233
8,0.9,5859.905777634041,1302.634254792079,75763.5833089017,75758.68262836023,0.777703890775182,1.0000646880380102,9.999999999999998,0.8966952098374749
9,0.1,4803.737093035187,1012.4930915067446,48010.381693310825,47996.33929205913,0.7892280381091772,1.000292572339033,90,0.90998259059309206
9,0.2,5271.7956058858435,1026.745809782653,55283.637083591675,55281.801913112875,0.8052379328522687,1.0000331966472744,80,0.92844205324516
9,0.3,5533.460564421815,NA,60354.50772942391,NA,NA,NA,70,NA
9,0.4,5701.476117761784,1182.4319388021925,64422.20671969085,64427.81250541093,0.7926095077170336,0.9999129912144756,60,0.9138814364591628
9,0.5,5809.76357632154,NA,67824.2320255536,NA,NA,NA,50,NA
9,0.6,5875.159950115991,1273.4338870477666,70718.71057857196,70708.61375378075,0.7832511969273916,1.0001427948343942,40,0.9030912725461624
9,0.7,5908.366050608155,1301.766026765562,73207.80486579447,73201.36312491546,0.7796741069163158,1.000088000285842,30.000000000000004,0.8989668756952066
9,0.8,5916.856752930606,1322.2450591415832,75366.91401580087,75362.39859245531,0.7765291413406825,1.0000599161309869,19.999999999999996,0.8953407197761933
9,0.9,5906.051059224795,1338.338864104574,77254.21784941941,77243.02619952921,0.7733953108965774,1.0001448888066773,9.999999999999998,0.891727402701399
